decoder,mean_tokens_per_sec,mean_acceptance_rate,runs,gsm8k_exact_match,speedup_vs_target_only
adaptive_length,15.439763508977231,1.0,1,0.0,1.0065777515190757
cascade_length_then_verif,14.968192304720729,0.8571428571428571,1,0.0,0.9758342053380955
cascade_verif_then_length,18.470244914678457,0.8571428571428571,1,0.0,1.2041465262996922
fuzzy_sd_T1,16.454764025158973,1.0,1,0.0,1.072749551156737
fuzzy_sd_T1.5,18.13947368019827,1.0,1,0.0,1.182582273370775
fuzzy_sd_T2,17.076502518626373,1.0,1,0.0,1.1132830822839073
fuzzy_sd_T2.5,17.205361490647256,1.0,1,0.0,1.1216838958225617
fuzzy_sd_T3,16.831166628084336,1.0,1,0.0,1.0972886890456204
fuzzy_sd_T3.5,16.968760595864204,1.0,1,0.0,1.1062589706584132
fuzzy_sd_T4,17.398347647100742,1.0,1,0.0,1.1342654079243701
jointadaspec,15.302214367168213,0.8571428571428571,1,0.0,0.9976103922842662
speculative,15.96112142972126,1.0,1,0.0,1.040567085830709
target_only,15.338868245077274,0.0,1,0.0,1.0
