decoder,mean_tokens_per_sec,mean_acceptance_rate,runs,gsm8k_exact_match,speedup_vs_target_only
adaptive_length,14.299554885670384,0.7895324949040539,300,0.59,0.5718065619609113
cascade_length_then_verif,15.792186758527745,0.9208756531819333,300,0.5833333333333334,0.6314935037095061
cascade_verif_then_length,15.799620887351894,0.9191018593483711,300,0.6266666666666667,0.6317907775532096
fuzzy_sd_T1,13.228954418878613,0.7192268376249369,300,0.62,0.528995692878307
fuzzy_sd_T1.5,14.128258982745868,0.7852971070054442,300,0.5833333333333334,0.5649568297760715
fuzzy_sd_T2,14.475039438211015,0.8112866399329774,300,0.58,0.5788237886835459
fuzzy_sd_T2.5,14.637202514697616,0.8233396551283223,300,0.62,0.5853083199842879
fuzzy_sd_T3,14.81742771980842,0.8365553596289829,300,0.5733333333333334,0.5925151145829352
fuzzy_sd_T3.5,14.918836155557615,0.8437261813013309,300,0.5866666666666667,0.5965702064695846
fuzzy_sd_T4,15.00576972921548,0.8500653954373483,300,0.57,0.6000464816592476
jointadaspec,15.792011436086453,0.9169501912800397,300,0.6166666666666667,0.6314864929652423
speculative,13.228270089978396,0.7192268376249369,300,0.62,0.5289683281275289
target_only,25.007678884678317,0.0,300,0.57,1.0
