decoder,mean_tokens_per_sec,mean_acceptance_rate,runs,gsm8k_exact_match,speedup_vs_target_only
adaptive_length,20.509338697649415,1.0,1,0.0,1.2174222187494825
cascade_length_then_verif,21.379358589544342,0.0,1,0.0,1.2690660851247695
cascade_verif_then_length,20.042960820003017,0.0,1,0.0,1.1897383036827807
fuzzy_sd_T1,20.419057644305102,1.0,1,0.0,1.212063188802502
fuzzy_sd_T1.5,17.351994637324214,1.0,1,0.0,1.030004142138502
fuzzy_sd_T2,16.440047766759825,1.0,1,0.0,0.9758715150991237
fuzzy_sd_T2.5,16.573566313156913,1.0,1,0.0,0.9837970970691352
fuzzy_sd_T3,18.805179360623892,1.0,1,0.0,1.1162643281041815
fuzzy_sd_T3.5,20.379503290641058,1.0,1,0.0,1.2097152657558947
fuzzy_sd_T4,20.34161856410516,1.0,1,0.0,1.2074664507884314
jointadaspec,21.400466301773815,0.0,1,0.0,1.2703190264425739
speculative,20.15254537753459,1.0,1,0.0,1.1962431782249352
target_only,16.846528987056185,0.0,1,0.0,1.0
