decoder,mean_tokens_per_sec,mean_acceptance_rate,runs,speedup_vs_vanilla
fixed_sd,20.268903949746974,0.8620689655172413,1,0.754367262821967
fuzzy_sd_T1,20.9652603841389,0.8620689655172413,1,0.7802842289619767
fuzzy_sd_T1.5,22.095271340184212,0.9259259259259259,1,0.8223409318791256
fuzzy_sd_T2,22.297224278400456,0.9259259259259259,1,0.8298572083190732
fuzzy_sd_T2.5,22.11585562604418,0.9259259259259259,1,0.8231070370133662
fuzzy_sd_T3,22.267612090355946,0.9259259259259259,1,0.8287551030796043
fuzzy_sd_T3.5,23.407062673338505,1.0,1,0.8711631296574883
fuzzy_sd_T4,23.324308941505116,1.0,1,0.8680832045502288
jointadaspec,22.13684459391388,0.92,1,0.823888203586585
specdecpp,20.876100776437678,0.8620689655172413,1,0.7769658902208879
vanilla_ar,26.868748086872507,0.0,1,1.0
