method,setting,eval_task,gsm8k_eval_mode,autojudge_threshold_used,topk_rank,runs,tokens_per_sec_median,avg_tokens_per_step_median,gsm8k_exact_match_mean,speedup_vs_speculative,accuracy_delta_vs_speculative
baseline,default,gsm8k,zero_shot_cot,0.0,4,3,116.55848038716958,1.0,0.3477777777777778,2.4900502447167967,-0.005555555555555536
speculative,default,gsm8k,zero_shot_cot,0.0,4,3,46.809690139576375,2.2451820459677667,0.35333333333333333,1.0,0.0
autojudge,threshold=0.005,gsm8k,zero_shot_cot,0.005,4,3,46.29680834699059,2.507054917692627,0.3933333333333333,0.9890432559784847,0.03999999999999998
autojudge,threshold=0.01,gsm8k,zero_shot_cot,0.01,4,3,46.53306092229505,2.507054917692627,0.3933333333333333,0.9940903429085628,0.03999999999999998
autojudge,threshold=0.03,gsm8k,zero_shot_cot,0.03,4,3,46.32218161515766,2.5071416219955043,0.3933333333333333,0.9895853075941099,0.03999999999999998
autojudge,threshold=0.05,gsm8k,zero_shot_cot,0.05,4,3,46.27149506046796,2.506274848746759,0.3933333333333333,0.9885024857566108,0.03999999999999998
autojudge,threshold=0.09,gsm8k,zero_shot_cot,0.09,4,3,46.32109876138704,2.5118878698736804,0.39,0.9895621744828377,0.03666666666666668
autojudge,threshold=0.14,gsm8k,zero_shot_cot,0.14,4,3,46.520793994321984,2.524377936314599,0.3933333333333333,0.9938282833235391,0.03999999999999998
autojudge,threshold=0.23,gsm8k,zero_shot_cot,0.23,4,3,48.005106505473954,2.604912888215561,0.38333333333333336,1.025537797031621,0.030000000000000027
autojudge,threshold=1,gsm8k,zero_shot_cot,1.0,4,3,92.20297022613352,4.927440975525383,0.016666666666666666,1.9697410931626378,-0.33666666666666667
topk,topk_rank=16,gsm8k,zero_shot_cot,0.0,16,3,92.39247010191608,4.3867079657935495,0.03,1.973789397588869,-0.32333333333333336
topk,topk_rank=2,gsm8k,zero_shot_cot,0.0,2,3,65.06144692578698,3.1034906379733966,0.12333333333333334,1.389914069753246,-0.22999999999999998
topk,topk_rank=32,gsm8k,zero_shot_cot,0.0,32,3,97.34832738046184,4.6502799294424415,0.013333333333333334,2.0796618625372263,-0.34
topk,topk_rank=4,gsm8k,zero_shot_cot,0.0,4,3,76.12552284871369,3.624906376391871,0.03,1.626277008493836,-0.32333333333333336
topk,topk_rank=8,gsm8k,zero_shot_cot,0.0,8,3,85.15665303450648,4.057267188859878,0.016666666666666666,1.8192099281278673,-0.33666666666666667
topk,topk_rank=all,gsm8k,zero_shot_cot,0.0,all,3,104.76558335033121,4.927440975525383,0.016666666666666666,2.2381174290610106,-0.33666666666666667
