method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,85.33333333333333,48.84836381214397,30.98910363338168,1.5763077367466727
speculative,default,,86.0,30.98910363338168,30.98910363338168,1.0
autojudge,threshold=0.005,0.005,81.0,37.5150635687278,30.98910363338168,1.2105888577014634
autojudge,threshold=0.01,0.01,81.0,41.12075747498247,30.98910363338168,1.3269424621461752
autojudge,threshold=0.03,0.03,82.0,42.44786351499016,30.98910363338168,1.3697673871813776
autojudge,threshold=0.05,0.05,80.0,43.576933198559374,30.98910363338168,1.4062017964152405
autojudge,threshold=0.09,0.09,83.0,45.15678108866585,30.98910363338168,1.4571825510958842
autojudge,threshold=0.14,0.14,80.0,45.8092033746764,30.98910363338168,1.4782358314272248
autojudge,threshold=0.23,0.23,81.0,46.711039948164604,30.98910363338168,1.5073375629312216
autojudge,threshold=1,1.0,62.0,48.53123160702651,30.98910363338168,1.5660740685235028
topk,topk_rank=16,,65.0,56.26212930139069,30.98910363338168,1.815545553269399
topk,topk_rank=2,,85.0,52.19533336396567,30.98910363338168,1.6843124596782622
topk,topk_rank=32,,63.0,56.31601524622965,30.98910363338168,1.8172844207589676
topk,topk_rank=4,,77.0,55.22647213083733,30.98910363338168,1.7821255104438383
topk,topk_rank=8,,68.0,56.014335202407274,30.98910363338168,1.8075493846188
topk,topk_rank=all,,62.0,56.39543308571552,30.98910363338168,1.8198471873502646
