method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,,49.83282824801832,30.08032230239347,1.656658720177781
speculative,default,,,30.08032230239347,30.08032230239347,1.0
autojudge,threshold=0.005,0.005,,25.340520562956687,30.08032230239347,0.8424284922286341
autojudge,threshold=0.01,0.01,,25.367370777838804,30.08032230239347,0.8433211094889214
autojudge,threshold=0.03,0.03,,25.389085186239857,30.08032230239347,0.8440429903312461
autojudge,threshold=0.05,0.05,,25.395366480889496,30.08032230239347,0.8442518077297598
autojudge,threshold=0.09,0.09,,26.218078348959846,30.08032230239347,0.8716023081598994
autojudge,threshold=0.14,0.14,,27.009850636885446,30.08032230239347,0.8979242431433753
autojudge,threshold=0.23,0.23,,28.167834699623747,30.08032230239347,0.9364206412569739
autojudge,threshold=1,1.0,,29.89660299558066,30.08032230239347,0.9938923757210477
topk,topk_rank=16,,,35.611656812192315,30.08032230239347,1.1838854801552017
topk,topk_rank=2,,,33.469088698811525,30.08032230239347,1.1126572502232934
topk,topk_rank=32,,,35.680163816813604,30.08032230239347,1.1861629492571812
topk,topk_rank=4,,,35.054447208914986,30.08032230239347,1.1653614232094092
topk,topk_rank=8,,,35.51703276948002,30.08032230239347,1.1807397677601996
topk,topk_rank=all,,,35.69330792867076,30.08032230239347,1.1865999163789103
