method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,70.88888888888889,72.63263257978593,40.595329294504694,1.789186929680062
speculative,default,,71.88888888888889,40.595329294504694,40.595329294504694,1.0
autojudge,threshold=0.005,0.005,74.66666666666667,40.42551536571851,40.595329294504694,0.9958169096854901
autojudge,threshold=0.01,0.01,74.66666666666667,40.48075645037607,40.595329294504694,0.9971776840804163
autojudge,threshold=0.03,0.03,76.66666666666667,41.29918093069723,40.595329294504694,1.0173382418230024
autojudge,threshold=0.05,0.05,77.33333333333333,42.232526147314225,40.595329294504694,1.0403296852436459
autojudge,threshold=0.09,0.09,76.33333333333333,44.10970616480469,40.595329294504694,1.0865709659553304
autojudge,threshold=0.14,0.14,78.66666666666666,45.91721719327842,40.595329294504694,1.1310960642827976
autojudge,threshold=0.23,0.23,77.0,47.59759136913079,40.595329294504694,1.1724893527486173
autojudge,threshold=1,1.0,75.66666666666667,49.19746685503823,40.595329294504694,1.21189968673805
topk,topk_rank=16,,76.0,59.22382130050931,40.595329294504694,1.4588826431450161
topk,topk_rank=2,,73.33333333333333,56.21271942726189,40.595329294504694,1.3847090392951016
topk,topk_rank=32,,76.33333333333333,59.20040683205737,40.595329294504694,1.458305865745772
topk,topk_rank=4,,73.66666666666667,58.54706006050191,40.595329294504694,1.4422117292303207
topk,topk_rank=8,,76.33333333333333,59.122735720295026,40.595329294504694,1.4563925640652051
topk,topk_rank=all,,75.66666666666667,59.23715477804586,40.595329294504694,1.4592110917071603
