method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,,71.33796097550216,34.6938473543618,2.056213606028141
speculative,default,,,34.6938473543618,34.6938473543618,1.0
autojudge,threshold=0.005,0.005,,22.95189146826314,34.6938473543618,0.6615550945916515
autojudge,threshold=0.01,0.01,,22.968935282125813,34.6938473543618,0.6620463578893938
autojudge,threshold=0.03,0.03,,23.27526020437675,34.6938473543618,0.6708757309803095
autojudge,threshold=0.05,0.05,,23.75227725950533,34.6938473543618,0.6846250580657821
autojudge,threshold=0.09,0.09,,25.06304261045416,34.6938473543618,0.7224059745943158
autojudge,threshold=0.14,0.14,,26.606948806525963,34.6938473543618,0.7669068389782049
autojudge,threshold=0.23,0.23,,28.109355424281894,34.6938473543618,0.8102115380048189
autojudge,threshold=1,1.0,,29.169262816163464,34.6938473543618,0.8407618364786582
topk,topk_rank=16,,,36.08924329170427,34.6938473543618,1.0402202708477368
topk,topk_rank=2,,,33.413440707349004,34.6938473543618,0.963094129228887
topk,topk_rank=32,,,36.20772661639836,34.6938473543618,1.0436353814142851
topk,topk_rank=4,,,35.35493334652202,34.6938473543618,1.0190548481235853
topk,topk_rank=8,,,35.897366064943036,34.6938473543618,1.0346896871450588
topk,topk_rank=all,,,36.43638935630969,34.6938473543618,1.0502262543600203
