method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,70.88888888888889,72.68068374924499,40.679690968783646,1.7866577158862376
speculative,default,,71.88888888888889,40.679690968783646,40.679690968783646,1.0
autojudge,threshold=0.005,0.005,74.66666666666667,40.464333471629736,40.679690968783646,0.9947060193422027
autojudge,threshold=0.01,0.01,74.66666666666667,40.51261927071085,40.679690968783646,0.995892994904976
autojudge,threshold=0.03,0.03,76.66666666666667,41.3584833558377,40.679690968783646,1.016686271967379
autojudge,threshold=0.05,0.05,77.33333333333333,42.283252187774394,40.679690968783646,1.0394192084748448
autojudge,threshold=0.09,0.09,76.33333333333333,44.14812588474669,40.679690968783646,1.0852620763177532
autojudge,threshold=0.14,0.14,78.66666666666666,45.98361998906683,40.679690968783646,1.1303827264654802
autojudge,threshold=0.23,0.23,77.0,47.65718273310834,40.679690968783646,1.1715227327975282
autojudge,threshold=1,1.0,75.66666666666667,49.26529898136589,40.679690968783646,1.2110539143271903
topk,topk_rank=16,,76.0,59.28352543913098,40.679690968783646,1.457324872124111
topk,topk_rank=2,,73.33333333333333,56.271350280223295,40.679690968783646,1.3832787059125944
topk,topk_rank=32,,76.33333333333333,59.26390216028641,40.679690968783646,1.4568424869737513
topk,topk_rank=4,,73.66666666666667,58.60489591783069,40.679690968783646,1.4406426037700801
topk,topk_rank=8,,76.33333333333333,59.18140169793495,40.679690968783646,1.4548144366029956
topk,topk_rank=all,,75.66666666666667,59.292987769082785,40.679690968783646,1.4575574778722487
