method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,,71.51701033632588,34.81860108531425,2.0539886183563603
speculative,default,,,34.81860108531425,34.81860108531425,1.0
autojudge,threshold=0.005,0.005,,22.784630188642375,34.81860108531425,0.6543809767892269
autojudge,threshold=0.01,0.01,,22.79963607710219,34.81860108531425,0.6548119501193457
autojudge,threshold=0.03,0.03,,22.808666411172265,34.81860108531425,0.6550713038494955
autojudge,threshold=0.05,0.05,,23.24561488512673,34.81860108531425,0.6676205867136701
autojudge,threshold=0.09,0.09,,24.728205281455423,34.81860108531425,0.7102009991976748
autojudge,threshold=0.14,0.14,,26.61067698927129,34.81860108531425,0.7642661152315827
autojudge,threshold=0.23,0.23,,28.383874238273698,34.81860108531425,0.8151928381248326
autojudge,threshold=1,1.0,,28.913601729621778,34.81860108531425,0.830406760420278
topk,topk_rank=16,,,36.18182994666632,34.81860108531425,1.0391523156835571
topk,topk_rank=2,,,33.4737873727274,34.81860108531425,0.9613765725598303
topk,topk_rank=32,,,36.31747145132655,34.81860108531425,1.0430479777846242
topk,topk_rank=4,,,35.44216498798333,34.81860108531425,1.0179089303772197
topk,topk_rank=8,,,35.985746015465374,34.81860108531425,1.0335207301204126
topk,topk_rank=all,,,36.53573871015663,34.81860108531425,1.0493166747462073
