method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,70.88888888888889,70.58133345268055,36.62052431201189,1.9273709150452876
speculative,default,,71.44444444444444,36.62052431201189,36.62052431201189,1.0
autojudge,threshold=0.005,0.005,74.33333333333333,47.5639263919539,36.62052431201189,1.298832479477976
autojudge,threshold=0.01,0.01,74.33333333333333,47.817561408491365,36.62052431201189,1.30575851402561
autojudge,threshold=0.03,0.03,76.0,48.96667871701025,36.62052431201189,1.3371375652573247
autojudge,threshold=0.05,0.05,77.33333333333333,51.08783654562245,36.62052431201189,1.3950602156961784
autojudge,threshold=0.09,0.09,76.33333333333333,55.148647113987764,36.62052431201189,1.5059491405451688
autojudge,threshold=0.14,0.14,72.0,59.5028789510174,36.62052431201189,1.6248505467601915
autojudge,threshold=0.23,0.23,73.0,64.44585196065218,36.62052431201189,1.7598287619140753
autojudge,threshold=1,1.0,72.33333333333334,68.84862007835585,36.62052431201189,1.8800555527757103
topk,topk_rank=16,,72.0,79.05731183993183,36.62052431201189,2.1588252305279054
topk,topk_rank=2,,74.66666666666667,70.74952256600933,36.62052431201189,1.9319636705147556
topk,topk_rank=32,,72.33333333333334,78.78559344575517,36.62052431201189,2.1514053915364815
topk,topk_rank=4,,71.0,77.43939766666199,36.62052431201189,2.114644700520061
topk,topk_rank=8,,71.66666666666667,78.77781982768259,36.62052431201189,2.151193116638221
topk,topk_rank=all,,72.33333333333334,78.5454764894424,36.62052431201189,2.144848495893291
