method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,,69.22790007970052,30.675137902387174,2.2568081128109005
speculative,default,,,30.675137902387174,30.675137902387174,1.0
autojudge,threshold=0.005,0.005,,28.295650300475376,30.675137902387174,0.9224294407580602
autojudge,threshold=0.01,0.01,,28.375593454376343,30.675137902387174,0.9250355628284925
autojudge,threshold=0.03,0.03,,29.04154596921945,30.675137902387174,0.9467454086639787
autojudge,threshold=0.05,0.05,,30.255837731474895,30.675137902387174,0.9863309442243893
autojudge,threshold=0.09,0.09,,33.51701714245283,30.675137902387174,1.092644383510481
autojudge,threshold=0.14,0.14,,37.69408309053506,30.675137902387174,1.2288154403896474
autojudge,threshold=0.23,0.23,,41.29206532905397,30.675137902387174,1.3461085475948447
autojudge,threshold=1,1.0,,44.83657675751539,30.675137902387174,1.4616585229442818
topk,topk_rank=16,,,52.40492843987561,30.675137902387174,1.7083844449741625
topk,topk_rank=2,,,45.441728330194636,30.675137902387174,1.4813862768864132
topk,topk_rank=32,,,52.63209868424897,30.675137902387174,1.7157901246192306
topk,topk_rank=4,,,50.77327660327577,30.675137902387174,1.6551931001856892
topk,topk_rank=8,,,52.34655686811811,30.675137902387174,1.7064815498040333
topk,topk_rank=all,,,53.84488103473916,30.675137902387174,1.7553264538233384
