method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,58.111111111111114,78.56252191711506,47.16342711484772,1.6657509159757913
speculative,default,,56.888888888888886,47.16342711484772,47.16342711484772,1.0
autojudge,threshold=0.005,0.005,61.66666666666667,51.54747525265985,47.16342711484772,1.0929544014504402
autojudge,threshold=0.01,0.01,61.66666666666667,54.4973981586737,47.16342711484772,1.1555012324691125
autojudge,threshold=0.03,0.03,61.33333333333333,54.84852005140346,47.16342711484772,1.162946024211552
autojudge,threshold=0.05,0.05,61.66666666666667,54.72548407640473,47.16342711484772,1.160337308464515
autojudge,threshold=0.09,0.09,61.66666666666667,55.85115677205192,47.16342711484772,1.1842047999618157
autojudge,threshold=0.14,0.14,59.66666666666667,56.34569483191099,47.16342711484772,1.1946904260096178
autojudge,threshold=0.23,0.23,59.66666666666667,57.838687750062654,47.16342711484772,1.2263461603250245
autojudge,threshold=1,1.0,52.33333333333333,63.37878091841195,47.16342711484772,1.3438120339321016
topk,topk_rank=16,,53.666666666666664,68.62342513620187,47.16342711484772,1.4550135419357224
topk,topk_rank=2,,54.0,71.52609255906273,47.16342711484772,1.5165584211022123
topk,topk_rank=32,,53.0,68.39006372137807,47.16342711484772,1.450065610262828
topk,topk_rank=4,,54.333333333333336,71.53053641181442,47.16342711484772,1.5166526435330987
topk,topk_rank=8,,54.333333333333336,68.47337376649429,47.16342711484772,1.4518320222946202
topk,topk_rank=all,,52.33333333333333,68.46871156014417,47.16342711484772,1.4517331701408365
