method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,63.66666666666667,64.31416993866709,34.88307376593191,1.8437070761086045
speculative,default,,63.0,34.88307376593191,34.88307376593191,1.0
autojudge,threshold=0.005,0.005,61.0,21.20725723136623,34.88307376593191,0.6079526527297607
autojudge,threshold=0.01,0.01,61.0,21.225689718960126,34.88307376593191,0.6084810605104964
autojudge,threshold=0.03,0.03,60.0,21.24003429959915,34.88307376593191,0.6088922794511
autojudge,threshold=0.05,0.05,61.0,21.402208119269538,34.88307376593191,0.613541348531382
autojudge,threshold=0.09,0.09,63.0,21.749687010909923,34.88307376593191,0.6235025948932134
autojudge,threshold=0.14,0.14,65.0,22.078330048787613,34.88307376593191,0.6329238700962792
autojudge,threshold=0.23,0.23,63.0,22.588738677927136,34.88307376593191,0.6475558555848403
autojudge,threshold=1,1.0,63.0,24.165456694101696,34.88307376593191,0.69275594393584
topk,topk_rank=16,,63.0,29.88665414857671,34.88307376593191,0.85676664703112
topk,topk_rank=2,,63.0,29.024569287787457,34.88307376593191,0.8320530892015002
topk,topk_rank=32,,63.0,29.88313102498303,34.88307376593191,0.8566656489477138
topk,topk_rank=4,,64.0,29.700648364208295,34.88307376593191,0.8514343822881525
topk,topk_rank=8,,63.0,29.85254219280392,34.88307376593191,0.8557887528236977
topk,topk_rank=all,,63.0,29.85893636323817,34.88307376593191,0.8559720557767905
