method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,,63.79727345442925,31.57987323000132,2.0201877629394964
speculative,default,,,31.57987323000132,31.57987323000132,1.0
autojudge,threshold=0.005,0.005,,16.398463616188202,31.57987323000132,0.5192694567440326
autojudge,threshold=0.01,0.01,,16.404121478207394,31.57987323000132,0.5194486171218461
autojudge,threshold=0.03,0.03,,16.42457356220927,31.57987323000132,0.5200962474607307
autojudge,threshold=0.05,0.05,,16.4218596712582,31.57987323000132,0.5200103101002067
autojudge,threshold=0.09,0.09,,16.42026166400638,31.57987323000132,0.5199597080208321
autojudge,threshold=0.14,0.14,,16.459329083419885,31.57987323000132,0.5211968066984922
autojudge,threshold=0.23,0.23,,16.7266640777107,31.57987323000132,0.529662166655569
autojudge,threshold=1,1.0,,20.211809800279205,31.57987323000132,0.6400218789060149
topk,topk_rank=16,,,25.510987126754763,31.57987323000132,0.8078242411219996
topk,topk_rank=2,,,24.12125545639161,31.57987323000132,0.7638173617959961
topk,topk_rank=32,,,25.50762934818054,31.57987323000132,0.8077179145845316
topk,topk_rank=4,,,25.371300239684885,31.57987323000132,0.8034009527176251
topk,topk_rank=8,,,25.521517710973836,31.57987323000132,0.8081576998456105
topk,topk_rank=all,,,25.531710409791742,31.57987323000132,0.8084804591785462
